1,2017-06-29 18:46:35,EGamer#8277,uber bot is an asshole
2,2017-09-03 23:32:59,Slomojoe#2412,my daddy taught me not to be ashamed of my penis
3,2017-09-27 17:05:37,KittyLitter#6179,ive been flushing wipes for years
5,2018-02-08 01:44:28,eGamer#8277,Eyes....I only do eyes
6,2018-02-08 16:25:22,Slomojoe#2412,LEAVE THE TITTIES ALONE
7,2018-02-08 18:11:18,Ace#5910,I'd let her poop on me.
8,2018-02-08 18:18:09,Slomojoe#2412,curl me anastasia <:Kreygasm:344686592968884235>
9,2018-02-08 18:38:39,Slomojoe#2412,i just had a 10 ft long poop anaconda slither out of my ass
10,2018-02-08 20:04:34,KittyLitter#6179,What's next requiring a license to make toast in your own damn toaster?!
11,2018-02-09 01:34:25,Slomojoe#2412,look theres nothing more serious than qt grils curling
12,2018-02-16 17:56:41,Jordan#1887,I am mad because I had to shit and nothing came out.
13,2018-02-23 15:39:54,Slomojoe#2412,If you take the mis out of misinformation it’s just information
14,2018-02-23 22:31:18,KittyLitter#6179,"Hail Satan, with this blood offering of my soul"
15,2018-02-28 15:51:26,eGamer#8277,And they are all raping children
16,2018-02-28 16:09:02,Jordan#1887,I find it hard to believe that you don't jack off to trap pegging
17,2018-03-01 18:02:05,The Mage#8484,thats where the weebs seperate themselves from the furries
19,2018-03-02 03:46:32,Jordan#1887,I would seriously consider sucking a cock
20,2018-03-10 16:12:28,KittyLitter#6179,"honestly think mine is about a 1/4""-1/2"" thick"
21,2018-03-12 02:54:24,TGRAS#2339,I love chicken wings
23,2018-03-31 01:27:56,KittyLitter#6179,I'm a white man living in the southland.
24,2018-04-04 18:47:16,Slomojoe#2412,can we edit the AFK channel to be called Eann
25,2018-04-06 13:12:04,eGamer#8277,"We were in this bar in Saigon and this kid comes up, this kid carrying a shoe-shine box. And he says ""Shine, please, shine!"" I said no. He kept askin', yeah, and Slomojoe#2412 said ""Yeah."" And I went to get a couple of beers, and the box was wired, and he opened up the box, fucking blew his body all over the place. And he's laying there, he's fucking screaming. There's pieces of him all over me, just like this, and I'm tryin' to pull him off, you know, my friend that's all over me! I've got blood and everything and I'm tryin' to hold him together! I'm puttin'... the guy's fuckin' insides keep coming out! And nobody would help! Nobody would help! He's saying, sayin' ""I wanna go home! I wanna go home!"" He keeps calling my name! ""I wanna go home, EGamer#8277! I wanna drive my Chevy!"" I said ""With what? I can't find your fuckin' legs! I can't find your legs!"""
27,2018-04-16 16:51:51,KittyLitter#6179,I mean just look at the size of this monkeys nuts
28,2018-04-19 12:16:44,eGamer#8277,There is still hope for EGamer#8277
29,2018-04-20 23:54:09,Jordan#1887,You miss every dick you don't suck dry
30,2018-04-21 10:46:59,Slomojoe#2412,I need a nice racist girl
31,2018-04-30 02:46:11,Slomojoe#2412,i used to think kanye west was a retard nigger but i love kanye now
32,2018-05-03 19:04:14,Slomojoe#2412,i think im gonna clean my pipe today
33,2018-05-10 17:58:56,Slomojoe#2412,its not like a bucking bronco it just feels nice
34,2018-05-18 12:18:17,The Cuckinator#7217,"Take it from me kid, there's only so long you can have a shot glass full of soy sauce before your room smells like soy sauce. Take that with a grain of assault"
35,2018-05-25 15:27:40,eGamer#8277,Dude my ass sounds like a motor right now
36,2018-06-04 01:43:03,Jordan#1887,unironically played with various boyfriends of my mom
37,2018-06-04 17:28:11,eGamer#8277,"If my ass falls asleep I won't mind, I can doodoo in my drawers and not be able to feel it"
38,2018-07-05 00:33:21,Jordan#1887,Beautiful glistening naked boys
39,2018-08-06 06:07:20,Jordan#1887,Why would I dab on myself this way
40,2018-08-10 14:04:44,eGamer#8277,U need a bean chamber
41,2018-09-01 21:11:51,KittyLitter#6179,DAMN ? ? ? GOD MUST EXIST ? ?? ?? CAUSE THAT'S THE ONLY REASON FOR YOU BEING A FAGGOT ?? ? ???????
42,2018-09-29 03:29:34,Jordan#1887,URN OT A TRU A GAMER
43,2018-10-31 20:20:30,KittyLitter#6179,like in terms of hair thickness on white dudes I think I would be in the upper 5% at least
44,2018-11-17 20:40:18,The Cuckinator#7217,My underwear has been inside out all day ?
46,2019-01-11 19:08:03,Jordan#1887,I want to meet a lot of women and possibly have sex with them
47,2019-01-24 01:13:43,KittyLitter#6179,how fucking hot do you think jesus was
48,2019-03-01 06:32:59,Jordan#1887,just shut the fuck up and jam
49,2019-03-29 22:03:28,Ace#5910,"IQ doesn't go above like 130something, right"
50,2019-03-29 23:58:29,The Mage#8484,He didnt sweep the legs
51,2019-04-04 00:11:38,Jordan#1887,i am shopping online for good car insurance
52,2019-05-02 01:56:23,The Mage#8484,i thought we had a quote bot
53,2019-05-02 23:45:16,Ace#5910,I'd love to see EGamer#8277 nut inside of her.
54,2019-05-15 00:20:35,KittyLitter#6179,"CDPR could come out and be like ""our next game is about a turd that gets dumped out of a dudes ass in a hallway, his mission is to find a toilet bowl and get flushed, along the way he makes friends and enemies"" and I'd still buy the game"
55,2019-05-16 16:13:27,eGamer#8277,I would just suck the nut back out of her pussy
57,2019-05-20 17:42:39,Ace#5910,"Just when I thought I couldn't hate God's chosen people any more, these guys came along."
58,2019-05-20 18:22:47,Jordan#1887,Irish aren't white
59,2019-05-30 12:14:22,Slomojoe#2412,I get to fuck THAT
60,2019-05-30 14:44:56,The Cuckinator#7217,I'll date a trans if they're passable enough
61,2019-05-30 14:51:20,Thotiana#3974,Cause I guess I had this one black guy I was chilling with at the time
63,2019-05-30 15:04:38,Slomojoe#2412,This Asian lady did me good one time
64,2019-05-31 13:34:49,Affluxion #1434,porn is porn
65,2019-05-31 16:19:53,The Mage#8484,we're all retarded faggots here
67,2019-06-03 22:19:20,Jordan#1887,Increases TIME of INTERCOURSE Lasting Your Sex Time
68,2019-06-04 13:17:57,Slomojoe#2412,Fucked da bitch mouf til her brain bled Got her brain blood all on my brain bed
69,2019-06-05 09:01:37,Thotiana#3974,Tbh I spent about a long portion of my life not really knowing my own female anatomy
